4846	specificAttributes	VOLUME	WEIGHT	LOAD	MATERIAL	EXPAND
6564	specificAttributes	25	1.05	12	420D Nylon HD Oxford, 330D Nylon Big double R/S	\N
6566	specificAttributes	35	0.98	8	420D Nylon R/S, 600D Polyester	\N
6567	specificAttributes	\N	\N	\N	\N	\N
6568	specificAttributes	28	1.50	8	210D Nylon Double diamond R/S, 210D Nylon Strip Twill	\N
6569	specificAttributes	\N	\N	\N	\N	\N
6570	specificAttributes	25	0.70	8	450D Polyester Baby R/S, 600D Polyester	\N
6571	specificAttributes	\N	\N	\N	\N	\N
6572	specificAttributes	\N	\N	\N	\N	\N
6573	specificAttributes	30	0.75	8	450D Polyester Baby R/S, 600D Polyester	\N
6574	specificAttributes	\N	\N	\N	\N	\N
6575	specificAttributes	28	1.12	8	210D Nylon Double diamond R/S, 210D Nylon Strip Twill	\N
6576	specificAttributes	\N	\N	\N	\N	\N
6577	specificAttributes	\N	\N	\N	\N	\N
6578	specificAttributes	\N	\N	\N	\N	\N
6579	specificAttributes	\N	\N	\N	\N	\N
6580	specificAttributes	28	0.94	8	420D Nylon R/S, 600D Polyester	\N
6581	specificAttributes	\N	\N	\N	\N	\N
6583	specificAttributes	\N	\N	\N	\N	\N
6584	specificAttributes	32	1.16	10	70D Nylon 3Line R/S, 210D Nylon Velocity	\N
6585	specificAttributes	\N	\N	\N	\N	\N
6586	specificAttributes	30	1.0	12	330D Nylon double R/S, 600D Polyester	\N
6587	specificAttributes	\N	\N	\N	\N	\N
6588	specificAttributes	35	1.19	12	420D Nylon HD Oxford, 330D Nylon Big double R/S	\N
6589	specificAttributes	\N	\N	\N	\N	\N
6592	specificAttributes	40+8	1.4	15	210D Nylon Stripe Twill, 330D Nylon Double R/S	\N
6593	specificAttributes	\N	\N	\N	\N	\N
6595	specificAttributes	\N	\N	\N	\N	\N
6598	specificAttributes	\N	\N	\N	\N	\N
6599	specificAttributes	55+10	1.8	15	420D Nylon R/S, 600 Polyester	\N
6600	specificAttributes	\N	\N	\N	\N	\N
6601	specificAttributes	\N	\N	\N	\N	\N
6602	specificAttributes	\N	\N	\N	\N	\N
6603	specificAttributes	20	0.65	8	450D Polyester Baby R/S, 600D Polyester	\N
6604	specificAttributes	75+10	2.0	15	420D Nylon R/S, 600 Polyester	\N
6605	specificAttributes	\N	\N	\N	\N	\N
6606	specificAttributes	30+8	1.10	12	420D Nylon HD Oxford, 330D Nylon Big double R/S	\N
6607	specificAttributes	\N	\N	\N	\N	\N
6610	specificAttributes	40	1.6	15	600D Polyester	\N
6611	specificAttributes	\N	\N	\N	\N	\N
6614	specificAttributes	\N	\N	\N	\N	\N
6615	specificAttributes	35	0.75	8	450D Polyester Baby R/S, 600D Polyester	\N
6617	specificAttributes	40	1.61	15	210D Nylon Double diamond R/S, 210D Nylon Strip Twill	\N
6618	specificAttributes	\N	\N	\N	\N	\N
6619	specificAttributes	50	1.7	15	600D Polyester	\N
6620	specificAttributes	\N	\N	\N	\N	\N
6621	specificAttributes	\N	\N	\N	\N	\N
6622	specificAttributes	32+8	1.25	12	420D Nylon HD Oxford, 330D Nylon Big double R/S	\N
6623	specificAttributes	\N	\N	\N	\N	\N
6624	specificAttributes	60	1.8	15	600D Polyester	\N
6625	specificAttributes	\N	\N	\N	\N	\N
6627	specificAttributes	\N	\N	\N	\N	\N
6628	specificAttributes	45+8	1.5	15	210D Nylon stripe Twill, 330D Nylon double R/S	\N
6629	specificAttributes	\N	\N	\N	\N	\N
6630	specificAttributes	\N	\N	\N	\N	\N
6631	specificAttributes	35	1.55	8	210D Nylon Double diamond R/S, 210D Nylon Strip Twill	\N
6632	specificAttributes	28	1.10	12	420D Nylon HD Oxford, 330D Nylon Big double R/S	\N
6633	specificAttributes	\N	\N	\N	\N	\N
6635	specificAttributes	50+10	1.75	15	420D Nylon R/S, 600 Polyester	\N
6636	specificAttributes	\N	\N	\N	\N	\N
6637	specificAttributes	\N	\N	\N	\N	\N
6638	specificAttributes	\N	\N	\N	\N	\N
6640	specificAttributes	\N	\N	\N	\N	\N
6642	specificAttributes	\N	\N	\N	\N	\N
6644	specificAttributes	8	0.25	3	600D Polyester	\N
6645	specificAttributes	\N	\N	\N	\N	\N
6646	specificAttributes	\N	\N	\N	\N	\N
6647	specificAttributes	55+10	1.8	20	330D Nylon double R/S, 600D Polyester	\N
6648	specificAttributes	\N	\N	\N	\N	\N
6649	specificAttributes	25	0.38	5-8	600D Polyester, 450D Polyester R/S, print: 600D Polyester	\N
6650	specificAttributes	\N	\N	\N	\N	\N
